company_name,size,geography,sector,painpoints,desired_solutions,ninety_summary,other_information
1st Central,unknown,"UK, Guernsey, Gibraltar, India",Automobile insurance,"['Lack of innovation process understanding', ""Resistance to fast-tracking processes, 'it is what it is' attitude"", 'Difficulty pushing projects during holidays/low appetite', 'Frustration among keen individuals', 'Inefficient communication with UWs (brokers)', 'Time-constrained quoting/placing (brokers)', 'Lack of transparent product comparison (brokers)', 'Ignored submissions (brokers)', 'Unclear project status (brokers)', 'Slow sign-off process (brokers)', 'Many MVPs, few scale ideas in corporate innovation']","['Improved innovation process understanding and goals', 'Faster process execution and project progression', 'Overcoming organisational inertia', 'Better communication with UWs', 'More efficient quoting and placing business', 'Transparent product comparison tools', 'Clearer project status and sign-off', 'Scalable innovation outcomes', 'Deployment of Lab-in-a-Box', 'Improved governance and operating model', 'Unblocking innovation barriers', 'Clear innovation roadmap', 'Expanded innovation training (additional/wider audience)', 'Progressing ideas from backlog', 'Advancing current ideas to later stages (Stage 3, Phase 2)']","['Innovates for global insurance sector, improving innovation capabilities.', 'Specialist practitioners taking new insurance ideas to market in 60 days.', 'Builds innovation capabilities, labs, and learning for insurers.', 'Expertise in the 123 Framework™ (Design Thinking, Lean Startup, Agile) and Innovation ABC accelerants.', 'Offers Insurance Innovation Maturity Audit, Training Modules, Lab-in-a-Box™.', 'Mission: Help insurers innovate and thrive; Vision: Innovation as norm, extreme poverty as exception.', 'Focuses on accelerating delivery, effective ideation, and disruptive strategies/cultures.', ""Emphasizes decision gates to 'fail fast' and planning for scale.""]","['Client: Talbot (Phase 1 Sponsor Wrap Up project).', 'Ninety locations: London, New York.', 'Talbot Achievements: Generated 15 ideas (Cyber, PV, existing/new customers/products), completed topic lead activities, identified assumptions/ran experiments (financial case, wireframe), identified customer problems via 6 broker interviews/10 surveys.', 'Talbot Learnings: How to talk to customers, how ideation/stages 1-2 run (will author playbook), roles/responsibilities template.', 'Talbot Organisational Engagement: 261 total participants (ideations, stages, training, maturity audit, 1:1s).', 'Proposed 2019 Roadmap for client: Includes online distribution, alternative risk portfolio, Lab-in-a-Box deployment, idea challenges, innovation platform implementation, and multiple product pilots.', 'Current Phase Next Steps: Ninety to finalize deliverables, Talbot to decide on next execution steps and Ninety engagement.']"
AEGIS,unknown,Global,Energy Insurance,"Decreasing company longevity due to lack of innovation, unclear understanding of innovation, neglect of strategic innovation, ideas lack evidence for investment, inconsistent innovation approach, ineffective customer understanding, solving wrong problems, lack of curiosity, poorly defined problem statements, limited creativity, absence of psychological safety, group ideation issues (production blocking, evaluation apprehension).","Customer-centric design thinking for products, structured innovation methodology (123 framework), rapid experimentation and validation, building evidence for investable ideas, consistent and accountable innovation, effective customer engagement tools, focusing on problems before solutions, cultivating curiosity and diverse thinking, crafting clear customer-focused problem statements, creating psychological safety for idea generation.","Ninety is an award-winning consultancy that helps the global insurance sector innovate and improve its innovation capabilities. They make innovation happen through training and a structured 123 framework for bringing new ideas to market, contributing significant profits to charity.","90% of Ninety's distributable profits go to charity, supporting the global extreme poor (e.g., $10,000 donation to South Sudan schools). The bootcamp emphasizes setting group mindsets and outcomes. It uses real-world examples like Oral B and Juicero to illustrate customer-centricity."
AXA Global Healthcare,unknown,Global coverage,Health insurance,"Rapid change in IPMI market due to COVID-19 and changing consumer behavior. Need to diversify business and explore new disruptive products/services for new/existing customer segments. Lack of understanding of global insurance innovation landscape ('art of the possible'). Need to generate innovative 'idea seeds' that deliver growth and align with existing AXA GH capabilities/brand. (Prior engagement) Inefficient lead management in EU office. Emerging segments expect simplicity, digital options, and perceived value beyond claims.","Diversify business with new, disruptive products/services for new/existing segments. Obtain deep insights into global insurance innovation landscape. Develop innovative product/service ideas ('idea seeds') that align with AXA GH's strategy and capabilities. (Prior engagement) Improve lead management efficiency and create new insurance solutions for emerging segments. Create a combined value proposition: digital platform, simplified product, subscription pricing, value-added services.","Award-winning innovation experts for global insurance, offering training, op model best practices, market context (Navigator), and innovation delivery (123 Framework). Proposed 10-12 week engagement for AXA GH to provide market insights, generate disruptive ideas, and create an innovation roadmap, for £88.5k. Previously helped AXA GH (or related AXA entity) with customer interception, problem validation, and developing new value propositions for emerging segments. 90% distributable profits go to charity.","Document date: September 2021. Client: AXA Global Healthcare (AXA GH), leading IPMI provider. Prior engagement (April 2021, starting late 2020) with AXA (or related entity) focused on lead management and innovation for new global health insurance segments, resulted in a new proposition. Engagement requirements: project sponsor, access to strategy/stakeholders, remote interaction. Team: Dan White, Nick Reed, Ewa Clibborn-Dyer."
AXA Ireland,unknown,Ireland,General Insurance,"{'Claire': ""Struggles to prioritize risks, understand protection after an incident, find products reflecting her context, understand risks of possessions, lacks control over protections, feels 'one-size-fits-all'."", 'Murray': 'Cannot protect family/self in one process, too much admin for travel insurance, cannot alter insurance to accommodate changing needs, struggles to choose best products, manages family risks separately.', 'Larry': 'Finds it hard to understand/compare options, cannot alter insurance for changing needs, struggles to decide best options, has to deal with multiple insurers, feels insurer relationship is transactional/time-consuming/adds little value.'}","{'Under my AXA’rella (Larry)': ""A 'one stop shop' platform to access/manage all insurance covers ('modules') in one place, providing control and clarity."", 'Just for you (Murray)': 'Personalized product/service recommendations based on daily activities, ensuring customers see only relevant options.', 'Your Choice (Claire)': 'A single, flexible insurance product with one renewal date, allowing customers to choose modules, start/length/payment methods, and transfer existing policies.', 'MyFamily (Murray)': 'A shared family platform allowing policyholders to grant access levels, making all family members responsible for their policies.', 'AXA Lens (Claire)': 'An app allowing users to photograph possessions, identify objects/risks, and choose coverage for specific risks with security.', 'Aunt AXA (Larry)': 'A trusted advisor platform offering advice on insurance matters, highlighting protection gaps, and providing discounts/offers to loyal customers.'}","AXA Ireland is undertaking a structured, customer-centric innovation project (""Reimagining retail insurance"") to define its 2028 customer experience. This initiative focuses on identifying distinct customer personas (Claire, Murray, Larry) and their pain points, then co-creating solutions. The process has yielded 6 customer-prioritized ideas centered on modular 'singular products', AXA as a 'trusted advisor', and delivering clear value. Key strategic gaps have been identified for future exploration, including claims, embedded insurance, non-insurance offerings, and partnerships. The project is now moving into a testing sprint for proposition validation.","{'Project Sponsor': 'AXA Ireland', 'Project Goal': 'To articulate how customers see, understand & interact with AXA’s retail insurance in 2028.', 'Methodology': 'Multi-part innovation approach involving workshops, customer problem canvases, idea generation/prioritization with customer validation, and internal team engagement.', 'Customer Personas': 'Claire (Risk Taker), Murray (Deferred Buyer), Larry (Family First).', 'Key Themes from Solutions': ""Customers want a singular product (with modular coverage), AXA as a 'trusted advisor', and services with clear purpose/value."", 'Foundation Stones for Solutions': 'Regular/purpose-driven communications, data leveraged for reduced customer effort, competitive price point.', 'Identified Gaps to Address': 'Focus on claims, exploration of embedded insurance, non-insurance offerings, and partnerships (the latter out of scope for this analysis).', 'Next Steps': 'Start testing sprint, analyze results, build narrative for winning propositions.'}"
AXA Next,unknown,Global,Insurance Innovation,"Global plastic pollution and associated financial costs; lack of adequate insurance solutions for plastic impact. Ageing population challenges: financial insecurity, digital exclusion, isolation, poor health, disability; current insurance approaches are reactive (premium adjustments), not innovative. Gender inequality: pay gaps, economic disparity, lack of representation, safety concerns (abuse, assault); insurance industry largely neglects these risks. Within the insurance industry: innovation disillusionment, lack of incentives, structures, and training, leading to missed opportunities and cultural stagnation.","Solve plastic pollution by creating new markets and streamlining expenditure, insuring impact rather than producers. Innovate for ageing populations: create new markets, address lifestyle needs (work, care), explore new insurance products (memory, relationships). Address gender inequality: create new markets by serving women's specific needs in insurance. For the insurance industry: empower employees through innovation training, change culture to foster proactive innovation, develop innovation communities and practitioners, and deliver tangible solutions via structured innovation frameworks.","Ninety catalyzes innovation in risk & insurance, incubating bold ideas, upskilling teams, and creating innovation structures. 90% of distributable profits go to charity. They offer the 'Innovation Gym Suite' with HIIT (digital innovation program), Bootcamp (intensive 123 Framework training), and PT (Facilitation Masterclass) to develop innovation skills, mindsets, and cultures. They use an award-winning 123 Framework for rapid idea development and market launch. Case studies include helping Aviva build an innovation culture, Zurich upskill leadership, and Generali develop innovation champions.","The text identifies three strategic rationales for joint ventures: Plastic as a Risk, Impact of an Ageing Population, and Gender Inequality & Women's Safety. Each is described as a 'big and growing problem,' 'hot space' attracting money, and a 'meaningful financial opportunity' that is an 'underserved space in insurance & risk management.' Key statistics include: $3.7tn lifetime cost of plastic production annually, older UK consumers spending £550bn annually by 2040, and a 15% gender pay gap in the UK (30% in financial services). Ninety is 'Consultancy of the Year 2019, 2020 & 2021' and uses a '123 Framework for new insurance ideas to market in 60 days.'"
Aetna International,unknown,"Globally, over 200 countries and territories",International health insurance (expatriate/globally mobile),"Manual tracking of account objectives and actions; lack of centralized visibility on client intelligence, financials, relationship mapping, and opportunities; inconsistent tracking of competition and whitespace; difficulty in consistent client understanding and strategic relationship building; manual data aggregation for market trends and financial analysis.","A centralized platform for account planning, objective setting, and action tracking; automated visibility on historic and forecasted spend, opportunities, and client financials; structured tools for relationship mapping (org charts, matrix, heat map) and strategy; integration with CRM; systematic identification and tracking of opportunities (secured, unsecured, lost, no bid); consistent framework for client intelligence and market trend analysis.","Ninety provides a structured and centralized platform for comprehensive account planning and management. It automates tracking of client objectives, actions, financials, and opportunities, enhancing visibility and consistency. Ninety enables detailed relationship mapping and strategic development to strengthen client engagement and identify growth opportunities.","The text is a detailed internal template for client account planning, covering various aspects from objectives and client intelligence to financial performance, market analysis, relationship mapping, and opportunity tracking. It aims to guide account teams in understanding clients, identifying opportunities, and managing relationships strategically."
Allianz,49.22 billion USD,Global,"Property-Casualty, Life-Health",Cannot see beyond tier 1 suppliers; lack of overall supply chain visibility; inability to benchmark supply chain performance; no alerts for potential disruptions.,"Web-based service for supply chain transparency (beyond tier 1), real-time disruption alerts, and KPI-based benchmarking for identifying weak areas.","Ninety is leading a Mid-Point Review for the AGCS/XSEBI Concept Stage 2, focusing on a supply chain risk solution. They are actively running experiments (surveys, interviews, research) to validate assumptions around customer data, benchmarking, risk valuation, broker relations, buyer personas, and Palantir's use. Most experiments are in initial or ongoing phases.","Project: AGCS / XSEBI Concept Stage 2, as of Nov 19, 2019. It aims to develop a supply chain risk management solution targeting multinational manufacturers/logistics companies. The business model includes subscription revenue, various data sources (Actuarial, NatCat), and considers Palantir for the pilot. Multiple critical assumptions regarding market acceptance, data availability, and pricing are being tested."
Allied World,unknown,"Global (Headquarters: Zurich, Switzerland; operations in North America, Europe, Asia, Australia, Bermuda)","Property, Casualty, and Specialty Insurance and Reinsurance","['Human error in documents', 'Unnecessary length and complexity of documents', 'Confirmations via email rather than formal documents', 'Difficulty tracking and reviewing multiple documents', 'Unclear document format and font', 'Brokers need to explain insurer/brand to clients', 'Unclear policy wording', 'Time-consuming cross-referencing for accuracy', 'Translating complex policy language for clients', 'Multiple document exchanges for quote/bind process', 'Risk of attaching wrong wording leading to coverage issues']","['Multi-use and single document', 'Confidence in lack of human error', 'Use of tech and external links', 'Fast document turnaround', 'Ease of navigation within documents', 'Tech with a human touch (e.g., portals)', 'Documents designed for easy accuracy checking', 'Tools to check for and prevent human error', 'Policy wording understandable for all users', 'Support for interpreting documents and answering queries', ""Help for brokers to 'sell' Allied World to clients"", 'Automate communication with brokers', 'Reduce/remove unnecessary interactions', 'Customise preferences for different profiles', 'Allow for self-service', 'Ability to easily access documents for recall', 'Documents that can self-answer questions', 'Clear document layout to avoid second-guessing', 'Interactive digital mock-up for proposed solutions', ""Wayfinding features: 'Every page is page 1', breadcrumbs, immersion, 'TOP 10 ARTICLES'"", 'Collaboration features like comments, mentions, version history']","['Ninety leads client feedback in the project', 'Facilitates workshops for ideation, vision definition, prioritisation, and pilot planning', ""Guides the team through 'smelting' ideas, 'designing the jewellery' (refining vision), and creating visual prototypes/digital mock-ups""]","['Project phases include Lead Time, Ideation, Defining the vision, Prioritisation, Requirements, and Pilot planning', 'Workshops are a key activity for ideation, prioritisation, and pilot planning, using Miro', 'Workshop rules emphasize productive conflict, user focus, big-picture thinking, and process trust', ""The Jobs to be Done (JTBD) framework is used to understand broker needs (e.g., 'Be confident info is correct', 'Make end-insured understand policy', 'Allow info sharing for quote & bind')"", 'Feedback is collected from clients (Ninety-led), brokers (AW UWs-led), and internal stakeholders (Darren-led)', 'A digital mock-up is central to the vision and iterated with feedback']"
American Family Am Fam,unknown,United States (19 states),Multi-line personal and commercial insurance,Innovation team is a bottleneck; poor connection between investor and BU priorities (short vs. long-term goals); low cultural readiness for venture optionality; lack of BU pain point visibility for innovation teams; engagement failures due to BU unawareness; 'pushy scout syndrome'.,"Align ventures with Generali strategic priorities, creating measurable impact; create 'receivers' and 'Venture Champions' across Generali; make every investment deployable, make 'Mega Deals' the norm; foster venture-ready culture; outcomes-first approach with quarter-by-quarter measurement; facilitate open innovation; leverage existing workflows; establish Value Creation Plans and Venture Guides for BUs; implement a strategic value dashboard for Group Innovation; operate 'inside-out, not outside-in'; penetrate the whole organization; firewall strategic activities from financial decision-making.","Ninety operates the Generali Ventures Strategic Transfer Coordination Team, led by Dan White. Ninety's Innovation Champions program will be blended into the Generali program. Ninety subsidizes the program via ARK funding and provides expertise in innovation healthchecks, taking ideas to market, and building innovation capability.","Project: Ensuring Strategic Transfer AFV - Generali, March 2025. Four core programs: Venture Everywhere, For Everyone; DeepValue; Inspire & Connect; Success. '3 Dans' collaboration: Dan Reed (AFV), Dan White (Ninety), Danilo Raponi (Generali). Program timeline: 3-year main investment period, parallel with Generali's 3-year strategic plan (LP27). Program costed within AFV's market rate economics, subsidized by AFV and Ninety. Financials: Dan White's FOC status subject to ARK funding; approx. 388k EUR for time, approx. 270k EUR for expenses. Key tools: Venture Champion program, Generali Ventures Sandbox, Generali Ventures Intelligence Platform, Generali Ventures Innovation Co-pilot."
Atrium,unknown,"London, UK",Specialty Insurance and Reinsurance,Lack of innovation technique/training; internal positioning struggles for 'Innovate' team; fear of being outpaced by competitors; specific product ideas with market uncertainty or lack of capacity to explore.,Build innovation capability ('muscle'); explore and validate new product ideas; improve innovation techniques and training; enhance internal positioning of innovation function; keep pace with or surpass competitors.,"Ninety specializes in helping the global insurance sector build innovation capability and take new insurance ideas to market in 60 days. They offer a battle-tested methodology (123 Framework), training programs (Bootcamp, masterclasses), and tools (Maturity Audit, Lab-in-a-Box).",Client is Atrium. Two engagement types presented: a specific 'Sharia-compliant product' engagement (approx. £45k + £35k) and a broader 'Innovation programme' (approx. £80k/quarter retained). Key contacts are Justin Emrich (sponsor) and Simon Lewis (product owner). Work to be done on-site at Lloyd's and Ninety's offices.
